ALTF__Contact__r.Name,ALTF__Status__c,ALTF__Political__c,ALTF__Buyer_Role__c,ALTF__Coverage__c,ALTF__Status_Last_Modified__c,ALTF__Note__c
Adam Pfeiffer,Supporter,Political Structure,,Brief contact,2026-08-09T12:45:31.000+0000,"Support: Supporter - Adam Pfeiffer, 30 July 2026
Political: Political Structure - Adam Pfeiffer, 30 July 2026
Buyer Role: not written. The evidence establishes Decision Maker, Evaluator, User and the field holds one."
Dan Lewis,Supporter,,Evaluator,Brief contact,2026-08-09T12:45:32.000+0000,"Support: Supporter - Dan Lewis, 30 July 2026
Buyer Role: Evaluator - Dan Lewis, 30 July 2026"
Kayla Stanley,,,,Brief contact,,
